step,S,A,E,I,Q,R,T
254,24,1,133,339,333,709,47
255,19,2,134,341,323,710,45
256,22,1,128,337,322,707,41
257,15,1,127,344,312,708,39
258,14,1,121,347,301,717,40
259,11,1,120,337,304,720,41
260,15,1,113,326,310,711,38
261,19,3,109,321,302,707,40
262,9,2,107,321,301,719,39
263,16,1,94,324,291,720,41
264,13,1,105,309,286,729,43
265,19,1,101,307,277,730,43
266,23,0,104,307,277,713,42
267,15,2,106,318,270,715,41
268,13,4,120,312,263,712,38
269,19,5,118,310,263,707,42
270,15,2,124,314,261,704,41
271,21,1,128,318,257,694,41
272,13,1,130,317,255,690,42
273,14,1,126,317,262,683,42
274,14,2,113,318,252,689,46
275,12,2,118,312,245,694,47
276,17,3,117,308,242,696,44
277,16,2,124,317,232,691,45
278,18,3,129,312,230,692,40
279,18,1,124,320,231,681,42
280,14,1,125,328,233,672,43
281,12,0,131,320,232,676,42
282,13,2,126,312,242,674,42
283,21,3,121,308,247,667,39
284,18,2,128,307,248,656,35
285,20,3,133,304,252,646,36
286,14,6,123,307,260,638,37
287,17,5,121,312,259,630,38
288,16,3,125,310,262,625,39
289,17,4,121,314,254,623,39
290,16,0,115,327,251,616,40
291,13,1,107,333,256,602,43
292,18,2,98,336,257,600,42
293,15,2,110,325,262,594,41
294,15,2,126,309,267,593,39
295,8,3,121,309,267,602,36
296,9,3,111,318,261,603,36
297,13,3,113,308,262,608,35
298,10,5,125,290,269,605,34
299,12,1,120,292,266,604,36
300,17,0,114,300,264,597,37
301,16,1,116,299,269,585,36
302,10,2,104,296,275,586,40
303,13,0,106,285,269,596,37
304,8,0,96,290,270,594,39
305,19,1,94,285,274,585,38
306,16,4,101,283,265,587,38
307,18,10,93,284,256,592,34
308,16,5,102,286,254,589,37
309,20,5,107,282,251,587,36
310,12,4,113,280,245,597,34
311,18,2,122,268,255,585,32
312,14,3,125,275,249,583,36
313,19,3,125,271,251,571,37
314,5,0,126,286,243,576,39
315,9,0,109,297,236,588,38
316,20,0,112,289,237,584,32
317,10,3,113,284,242,585,33
318,15,0,103,292,235,584,32
319,10,0,110,290,236,586,33
320,11,2,102,286,248,579,35
321,10,2,97,290,247,579,34
322,13,1,95,294,241,579,34
323,9,0,105,286,240,581,34
324,12,1,100,289,240,573,36
325,12,0,96,287,247,567,37
326,14,1,92,289,246,564,34
327,8,0,94,281,248,567,34
328,17,2,93,270,237,569,32
329,14,6,99,259,236,569,31
330,12,1,99,267,234,565,36
331,14,1,96,281,225,566,37
332,15,3,97,275,231,563,36
333,8,5,103,270,227,572,36
334,16,2,107,275,222,566,37
335,10,1,111,266,218,577,43
336,14,2,117,270,221,572,42
337,19,2,122,272,214,573,36
338,7,1,118,286,209,579,35
339,21,0,107,281,216,566,33
340,16,0,114,287,217,557,36
341,13,3,114,285,219,557,35
342,17,2,110,274,225,554,33
343,11,2,114,269,227,559,30
344,15,1,118,265,226,557,32
345,12,1,119,260,230,555,31
346,14,1,106,266,233,550,34
347,15,1,107,273,234,546,32
348,10,1,100,277,233,548,33
349,7,0,104,281,231,546,33
350,16,2,98,280,236,541,30
351,14,3,92,294,233,532,30
352,10,3,93,292,234,532,36
353,8,3,84,297,231,535,37
354,15,2,81,295,230,526,34
355,13,1,82,292,233,525,33
356,15,1,81,296,234,519,32
357,16,2,90,288,232,517,33
358,10,0,94,290,233,513,34
359,11,0,88,289,224,515,34
360,8,1,84,283,220,519,36
361,4,1,90,272,222,523,37
362,9,1,77,273,223,525,34
363,17,2,82,259,227,514,34
364,8,3,88,262,224,518,33
365,12,2,92,266,224,505,33
366,12,3,97,266,225,504,34
367,8,1,104,259,228,503,36
368,11,1,96,256,226,506,37
369,8,0,93,253,225,510,37
370,15,1,84,263,225,503,39
371,14,0,83,261,218,508,41
372,19,3,88,251,221,506,40
373,16,3,100,254,217,501,39
374,12,2,104,248,207,512,38
375,14,0,103,243,206,512,39
376,19,0,106,244,207,498,37
377,14,1,105,253,201,495,38
378,9,2,106,251,199,496,38
379,13,3,104,253,196,490,36
380,15,3,99,255,194,494,37
381,6,6,96,255,198,490,38
382,17,2,89,246,200,494,36
383,7,2,88,251,195,496,37
384,8,1,89,249,192,495,37
385,9,2,94,244,196,491,37
386,17,3,98,241,200,484,37
387,15,1,107,243,196,478,37
388,9,2,103,245,193,480,37
389,12,3,96,242,191,479,37
390,10,5,100,245,186,479,37
391,13,1,101,254,186,477,35
392,11,0,102,262,185,474,37
393,9,0,107,249,192,468,34
394,14,0,100,257,195,457,35
395,13,2,99,264,195,455,35
396,12,2,99,265,192,453,34
397,13,3,101,256,202,452,35
398,13,4,94,255,207,453,33
399,13,0,106,252,205,459,29
400,5,0,104,261,206,456,29
401,14,0,97,263,205,450,27
402,16,0,98,257,209,453,29
403,9,3,88,264,210,446,31
404,9,4,83,265,214,444,29
405,9,3,91,268,213,435,32
406,9,0,99,263,210,436,34
407,11,1,98,270,211,433,30
408,12,1,94,270,209,432,30
409,8,0,89,276,211,430,31
410,11,0,87,277,208,438,28
411,9,1,91,271,212,440,30
412,13,2,87,273,208,438,32
413,12,3,86,270,211,437,34
414,9,3,102,263,218,431,35
415,20,2,104,262,224,417,32
416,11,1,104,249,233,415,35
417,13,0,106,256,231,412,34
418,7,0,105,248,222,428,33
419,10,3,103,244,228,424,31
420,7,4,108,244,222,434,31
421,7,2,95,256,222,433,34
422,9,2,79,268,212,441,35
423,7,4,72,269,210,447,35
424,10,2,81,263,206,451,33
425,11,5,83,241,223,449,32
426,13,3,89,241,214,448,31
427,9,1,81,255,210,449,34
428,11,1,93,251,204,449,30
429,16,0,91,246,213,440,28
430,14,4,91,243,219,433,28
431,9,4,95,239,215,439,27
432,10,5,88,244,223,432,28
433,8,3,92,242,221,437,28
434,9,2,83,243,224,432,31
435,10,3,80,242,229,431,30
436,12,2,78,237,230,428,28
437,8,1,89,238,225,430,27
438,8,4,88,237,223,437,26
439,10,2,97,231,221,440,24
440,7,1,95,235,221,442,25
441,8,1,99,234,212,447,25
442,8,2,101,241,208,449,26
443,12,4,101,236,210,444,26
444,6,2,109,237,208,442,28
445,7,3,100,250,198,447,29
446,12,3,95,249,202,444,28
447,9,3,99,244,200,446,27
448,11,3,96,245,204,438,30
449,13,2,95,252,201,431,28
450,5,1,99,253,205,434,28
451,4,3,96,247,202,442,27
452,12,2,79,263,205,430,27
453,10,2,80,261,203,432,23
454,10,3,75,260,211,429,23
455,13,3,78,251,213,429,24
456,12,3,89,240,215,424,26
457,11,3,89,245,215,423,24
458,10,2,91,246,211,424,23
459,10,1,99,233,221,424,22
460,13,3,96,240,223,419,24
461,10,6,100,236,220,422,22
462,5,5,102,235,216,429,24
463,9,3,100,235,223,423,20
464,10,3,100,231,225,420,20
465,11,3,101,229,220,420,20
466,13,2,98,229,215,422,19
467,8,3,95,231,218,422,18
468,13,1,94,235,221,413,19
469,9,0,93,233,214,420,20
470,9,1,81,242,208,423,19
471,8,3,81,242,213,419,20
472,9,3,87,241,213,415,24
473,7,3,84,238,216,412,24
474,7,3,86,230,209,421,25
475,6,2,93,226,204,425,26
476,12,4,96,226,195,421,26
477,13,1,95,225,195,421,28
478,10,0,85,234,190,422,33
479,10,2,86,234,186,426,31
480,14,1,89,227,187,424,29
481,13,2,89,230,188,417,29
482,7,2,86,230,194,419,30
483,8,0,78,234,185,423,30
484,12,0,81,224,187,426,30
485,13,3,83,215,189,425,29
486,15,1,87,217,184,429,26
487,12,2,99,219,177,429,28
488,11,0,99,218,169,426,28
489,10,0,94,217,177,425,31
490,7,2,88,221,176,432,31
491,11,2,83,222,175,432,31
492,10,1,88,216,180,422,30
493,15,2,85,225,178,418,27
494,12,2,90,236,174,416,25
495,8,1,80,237,183,415,25
496,10,0,88,225,191,412,28
497,8,1,89,231,182,420,28
498,5,1,92,234,183,421,26
499,10,0,94,235,176,423,28
500,10,1,87,235,185,421,28
501,7,2,96,224,191,415,28
502,8,4,91,233,186,416,32
503,13,5,92,227,179,419,37
504,11,2,100,220,185,414,40
505,17,1,101,217,187,409,35
506,9,0,102,225,187,407,31
507,11,0,100,221,193,401,32
508,6,1,99,226,187,405,33
509,10,1,86,225,195,402,32
510,15,1,83,227,201,393,28
511,14,3,86,223,200,392,28
512,5,2,89,222,203,392,31
513,11,1,86,228,201,382,32
514,7,2,89,224,201,386,36
515,6,2,87,214,209,394,33
516,3,2,84,219,207,400,34
517,8,3,77,223,200,409,31
518,11,1,87,219,193,406,32
519,7,2,90,214,201,403,34
520,6,1,93,211,193,414,34
521,13,1,87,215,189,411,35
522,9,5,83,228,185,410,33
523,12,1,91,229,182,405,32
524,11,0,95,227,183,405,32
525,8,2,90,236,175,409,31
526,8,2,95,231,175,409,30
527,8,1,94,239,168,411,29
528,14,0,91,239,177,399,29
529,8,2,90,245,177,396,30
530,8,2,86,248,178,395,28
531,13,2,83,245,173,392,28
532,12,1,92,246,171,389,26
533,7,1,91,244,176,391,25
534,10,1,87,247,172,391,22
535,7,3,90,246,166,395,21
536,9,0,88,239,174,395,23
537,5,3,87,236,174,401,23
538,7,0,88,235,174,406,22
539,6,1,81,232,176,406,22
540,13,1,82,235,175,401,18
541,6,0,90,231,173,400,17
542,7,0,86,230,180,399,21
543,7,1,85,235,172,397,21
544,4,1,77,243,170,403,23
545,10,1,80,232,170,409,21
546,5,3,87,228,175,404,23
547,10,1,89,226,170,403,24
548,8,1,94,220,174,405,28
549,4,0,97,219,170,406,30
550,5,0,88,225,169,403,32
551,11,0,83,222,178,400,29
552,12,0,91,218,173,401,28
553,11,0,85,215,174,403,32
554,10,0,83,220,173,406,35
555,8,1,85,213,176,406,37
556,18,3,75,217,179,400,31
557,11,2,82,218,179,395,33
558,9,2,83,216,173,397,36
559,10,3,82,219,169,394,39
560,9,4,85,221,173,391,40
561,14,4,93,215,167,392,39
562,11,6,100,211,172,390,39
563,7,2,102,213,180,390,38
564,14,2,97,219,176,384,35
565,8,1,98,228,176,383,37
566,12,2,93,226,178,381,39
567,7,4,95,229,176,384,39
568,11,4,88,234,175,379,38
569,11,4,92,231,176,387,36
570,7,3,97,231,181,389,36
571,8,5,88,239,177,392,34
572,8,3,88,248,173,388,32
573,9,2,88,244,172,390,34
574,8,1,86,241,178,387,37
575,11,2,79,243,182,383,37
576,6,1,86,238,185,388,39
577,8,1,77,244,184,391,38
578,6,2,77,234,191,392,37
579,5,1,72,242,192,388,40
580,11,1,70,247,185,388,38
581,8,2,77,245,187,389,39
582,10,3,75,249,186,386,38
583,11,1,75,245,186,385,37
584,8,0,79,238,190,386,36
585,6,2,73,244,194,385,39
586,9,2,71,246,183,397,36
587,4,2,69,242,190,397,37
